Gender;Ankle_min_girth;Wrist_min_girth;Height;Weight;Chest_depth;Biacromial_diameter
0;20.6;15.2;163.8;58.5;19;37.6
0;18.8;14.3;167.6;54.5;15.6;34.9
0;18.9;15;160;50.2;17.3;33.3
0;22;15.1;161.3;60.3;16;36.2
0;21.2;15.7;167.6;58.3;14.8;33.3
0;21;14.7;165.1;56.2;16.5;36
0;19.8;13.8;160;50.2;17;34
0;21.4;15.3;170;72.9;19.2;36.2
0;21.9;14.3;157.5;59.8;19;34.9
0;20.7;15.5;167.6;61;16.3;37.4
0;21;14.6;160.7;69.1;18.7;33.8
0;20.7;15.5;163.2;55.9;19;34
0;20.7;14.6;152.4;46.5;16.5;34.4
0;20.3;14.6;157.5;54.3;16.5;34.7
0;20.7;14.4;168.3;54.8;15.1;35.6
0;19.7;14.6;180.3;60.7;17.3;33.8
0;20.1;14.9;165.5;60;16.5;37.8
0;20;14.6;165;62;18.7;38.3
0;21.5;15.1;164.5;60.3;16.5;40.3
0;19.6;15.3;156;52.7;15.6;38.9
0;21.7;15.9;160;74.3;18;39.4
0;20.6;15;163;62;19.3;35
0;24.3;15.9;165.7;73.1;17.7;40.7
0;22.9;16.4;161;80;21.4;39.6
0;18.9;14.1;162;54.7;17;36.9
0;20.9;14.3;166;53.2;15.5;35.6
0;20.7;16.6;174;75.7;19.4;38.2
0;22.1;15.6;172.7;61.1;15.6;36.9
0;19.1;14.7;167.6;55.7;16.1;36.9
0;19;14.2;151.1;48.7;14.9;34.8
0;18.4;14.7;164.5;52.3;17.7;36.6
0;19.7;15;163.5;50;18.2;36.9
0;21.3;15.4;152;59.3;16.6;36.9
0;21.8;15.9;169;62.5;17.5;36.9
0;21;15;164;55.7;17.5;36
0;20.3;14.4;161.2;54.8;16.8;36.2
0;20.2;15;155;45.9;17.1;35.1
0;23.2;16.2;170;70.6;17.2;38.8
0;21.8;16.2;176.2;67.2;17.3;36.4
0;23.3;16.4;170;69.4;15.3;38.6
0;21.6;14.6;162.5;58.2;15.9;36.5
0;22.2;16.2;170.3;64.8;18.9;37.5
0;21.8;16.2;164.1;71.6;17.6;39.9
0;20.2;14.4;169.5;52.8;18.8;34.4
0;22.1;15.8;163.2;59.8;16.4;38.7
0;21.4;14.4;154.5;49;15.8;32.6
0;19.1;14;159.8;50;18;34.5
0;21.8;15.6;173.2;69.2;17.5;36.7
0;21;15;170;55.9;16.6;36.5
0;21.7;14.8;161.4;63.4;20.4;34.2
0;22.2;15.6;169;58.2;17.3;37.8
0;21.8;15.4;166.2;58.6;16;35.7
0;19.6;14;159.4;45.7;15.8;33.9
0;19.4;14.2;162.5;52.2;17.9;35.2
0;21;14.8;159;48.6;16.2;37.1
0;21.5;15;162.8;57.8;17.8;37.7
0;21.6;15.6;159;55.6;17.9;37.8
0;23.2;16.2;179.8;66.8;21.4;39.3
0;20.4;15.4;162.9;59.4;18.1;37.2
0;20.4;14.4;161;53.6;16.2;36.1
0;22;14.4;151.1;73.2;20;35.2
0;19;14.6;168.2;53.4;16.4;35.8
0;22;15.1;168.9;69;17.9;35
0;19.9;14.6;173.2;58.4;17.3;37.8
0;23.8;15.3;171.8;56.2;16.5;35.7
0;23.2;15.8;178;70.6;19.2;39.5
0;20.8;15.5;164.3;59.8;19;38.8
0;21.8;15.8;163;72;18.6;37.9
0;23;16;168.5;65.2;16.6;37.7
0;21.3;15.2;166.8;56.6;16.9;38.2
0;25.8;18.2;172.7;105.2;21.3;40
0;20.3;14.2;163.5;51.8;17.4;35.7
0;22;16;169.4;63.4;14.7;35.7
0;21;14.5;167.8;59;18.6;36
0;20;14;159.5;47.6;15.4;35
0;23.2;15.8;167.6;63;16.6;37
0;20.5;15;161.2;55.2;17.2;36.7
0;17.4;13.2;160;45;16.1;32.8
0;21.2;15.2;163.2;54;17.3;34.8
0;20.7;14.4;162.2;50.2;15.4;35
0;22.4;16.6;161.3;60.2;16.5;38.7
0;20.1;13.1;149.5;44.8;17.2;32.8
0;21.8;16;157.5;58.8;17;36.7
0;20.2;14.9;163.2;56.4;17.4;38.8
0;21.6;15.6;172.7;62;16.5;36.4
0;18.9;13.4;155;49.2;16.5;34
0;21.5;15.8;156.5;67.2;20.4;38.2
0;21;14.8;164;53.8;16.2;35.1
0;21.3;14.6;160.9;54.4;15.4;36
0;19.8;13.8;162.8;58;18.1;35.9
0;20;15;167;59.8;19.5;35
0;22;14.6;160;54.8;15.1;35.2
0;18.6;13.8;160;43.2;14.6;34.9
0;21.1;15.3;168.9;60.5;18.8;36
0;18.8;14.2;158.2;46.4;17;36.4
0;20.4;14.4;156;64.4;20.6;35.5
0;20.4;14.4;160;48.8;16.1;34.1
0;21.7;16;167.1;62.2;17.1;37.1
0;19;13.9;158;55.5;17.3;35.2
0;22;15.5;167.6;57.8;17.6;37.5
0;21.4;15.2;156;54.6;16.6;36.3
0;20.4;15.7;162.1;59.2;18.8;37.2
0;19.4;14.5;173.4;52.7;17.4;37.6
0;20.6;14.8;159.8;53.2;18.2;33.6
0;20.6;14.8;170.5;64.5;18.3;34.5
0;20.3;13.4;159.2;51.8;18.5;36
0;20.1;14.6;157.5;56;17.8;35.4
0;23.8;14.1;161.3;63.6;19.2;35.8
0;20.7;15.6;162.6;63.2;18.7;38.3
0;20.9;14.2;160;59.5;17.7;33.8
0;20.4;14.7;168.9;56.8;16.8;36.9
0;19.9;15;165.1;64.1;18;34.9
0;20.3;14.6;162.6;50;18.2;35.1
0;24.3;15.4;165.1;72.3;21.6;37.4
0;21.5;14.5;166.4;55;16.3;36.9
0;18.8;14.7;160;55.9;16.3;36
0;21;15.1;152.4;60.4;18.5;32.9
0;23.5;14.7;170.2;69.1;19.2;38.3
0;22.3;17.3;162.6;84.5;24.7;37.6
0;21.2;14.1;170.2;55.9;17.3;36.7
0;21.9;15.1;158.8;55.5;17.3;38.9
0;20.3;14.6;172.7;69.5;16.8;37.8
0;21;14.6;167.6;76.4;22.3;38
0;20.1;14.6;162.6;61.4;18.7;38.7
0;22.5;15.1;167.6;65.9;17.3;37.1
0;21.2;14.9;156.2;58.6;20.6;35.8
0;22.2;16;175.2;66.8;18.2;38.5
0;21;15;172.1;56.6;15.8;38.5
0;21.5;14.6;162.6;58.6;18.7;36
0;19.9;13.7;160;55.9;19.2;34
0;22.6;15.4;165.1;59.1;18.2;38.3
0;24.5;16;182.9;81.8;20.9;38.7
0;21.6;15.5;166.4;70.7;20.9;36.9
0;21;14.4;165.1;56.8;18.5;35.8
0;21.8;15;177.8;60;19.7;36.7
0;22.1;16;165.1;58.2;19.4;36.7
0;24.8;16.2;175.3;72.7;17;37.6
0;20.3;15.1;154.9;54.1;18.5;35.1
0;21;14.8;158.8;49.1;15.3;35.3
0;22.8;15.6;172.7;75.9;22.3;38.5
0;21.4;14.6;168.9;55;15.8;37.8
0;19.7;14.8;161.3;57.3;16.8;35.1
0;20.4;14.8;167.6;55;15.3;32.4
0;21.9;14.7;165.1;65.5;17.7;39.2
0;22.5;16.4;175.3;65.5;17;38.3
0;20.5;15.2;157.5;48.6;19;32.9
0;21.7;15.4;163.8;58.6;17.7;38
0;20.9;14.9;167.6;63.6;16.8;37.8
0;19.6;14.9;165.1;55.2;18;34.2
0;23.4;14.5;165.1;62.7;20.2;37.6
0;22;14.8;168.9;56.6;17.3;35.3
0;20.3;13;162.6;53.9;17.7;34.9
0;20.5;14.8;164.5;63.2;19.7;37.4
0;22.4;15.3;176.5;73.6;21.1;36.2
0;21;14.6;168.9;62;16.3;38.9
0;20.3;15.4;175.3;63.6;18.2;36
0;18.7;13.7;159.4;53.2;18;33.3
0;19.2;14.6;160;53.4;19.9;37.4
0;20.2;14.6;170.2;55;17.7;34.7
0;23.3;15.6;162.6;70.5;16.3;38.7
0;19.3;13.6;167.6;54.5;16.3;36.2
0;20.8;15.5;162.6;54.5;19.9;37.6
0;20.7;14.2;160.7;55.9;16.5;34.9
0;23;16.3;160;59;17.7;34.7
0;20;14.3;157.5;63.6;17.3;34
0;22.5;15.3;162.6;54.5;18;37.8
0;18.8;14.7;152.4;47.3;16.3;35.1
0;21.1;16.3;170.2;67.7;18.5;39.2
0;23.4;15.6;165.1;80.9;18;35.1
0;26;15.5;172.7;70.5;18;37.1
0;21.1;15.3;165.1;60.9;17;35.8
0;19.6;14.2;170.2;63.6;18.5;35.3
0;20.2;15;170.2;54.5;16.5;37.6
0;22;14.8;170.2;59.1;18;35.8
0;23.9;15.5;161.3;70.5;17.5;36
0;21;14;167.6;52.7;14.4;35.6
0;21.4;15.3;167.6;62.7;20.6;37.1
0;23.1;16.4;165.1;86.3;21.8;35.6
0;21.8;15.5;162.6;66.4;17.7;35.1
0;21.8;14.6;152.4;67.3;23.3;35.8
0;23.7;15.9;168.9;63;16.5;37.4
0;23;16.5;170.2;73.6;19.2;38.9
0;21.7;15.1;175.2;62.3;17.7;37.4
0;19.2;14.7;175.2;57.7;16.8;37.6
0;21.7;15.8;160;55.4;17;35.1
0;24.1;17.8;165.1;104.1;20.6;38
0;18.5;13.9;174;55.5;18.5;36.7
0;22.2;16.3;170.2;77.3;18.2;35.6
0;23.7;16.3;160;80.5;26.8;35.6
0;21.2;14.2;167.6;64.5;17.5;35.6
0;21.3;15.5;167.6;72.3;20.6;37.8
0;20.5;14.8;167.6;61.4;18.2;40.9
0;22.5;14.4;154.9;58.2;20.2;34
0;19.5;15;162.6;81.8;20.9;34.9
0;21.6;15;175.3;63.6;17.5;35.8
0;19.9;14.1;171.4;53.4;18.5;36.5
0;21.7;13.4;157.5;54.5;16.3;32.9
0;21.7;14.6;165.1;53.6;15.6;36.9
0;21.4;14.6;160;60;18;35.8
0;23.7;16.2;174;73.6;21.6;39.4
0;19.6;15.4;162.6;61.4;17.7;36.5
0;20.3;14.9;174;55.5;18.2;35.8
0;21.6;15.4;162.6;63.6;17.5;34.4
0;23;16.6;161.3;60.9;16;36.5
0;20.9;15.2;156.2;60;17;38.5
0;21;15.4;149.9;46.8;15.1;35.3
0;22.4;15.2;169.5;57.3;16;36.2
0;21;15.9;160;64.1;16.8;34.9
0;21.3;15;175.3;63.6;15.8;38.7
0;22.6;15.7;169.5;67.3;19.2;37.6
0;24.6;16.4;160;75.5;17.7;34.7
0;22.3;15.4;172.7;68.2;18.5;37.8
0;20.8;15.9;162.6;61.4;19.4;39.8
0;21.4;15.8;157.5;76.8;20.2;36.5
0;22.4;15.4;176.5;71.8;17;38
0;22.4;15.2;164.4;55.5;17.7;35.3
0;21.2;15.5;160.7;48.6;17.3;34.7
0;22;15.5;174;66.4;15.3;38.5
0;23;16.4;163.8;67.3;20.4;35.6
