movie_title;imdb_score;movie_facebook_likes
In the Heart of the Sea;7.0;27000
The Adventures of Pluto Nash;3.8;416
Green Zone;6.9;0
The Peanuts Movie;7.2;33000
The Spanish Prisoner;7.3;578
The Mummy Returns;6.3;0
Gangs of New York;7.5;0
The Flowers of War;7.6;13000
Surf's Up;6.8;0
The Stepford Wives;5.2;0
Black Hawk Down;7.7;10000
The Campaign;6.2;18000
The Fifth Element;7.7;18000
Sex and the City 2;4.3;0
The Road to El Dorado;6.9;0
Ice Age: Continental Drift;6.6;14000
Cinderella;7.0;56000
The Lovely Bones;6.7;16000
Finding Nemo;8.2;11000
The Lord of the Rings: The Return of the King;8.9;16000
The Lord of the Rings: The Two Towers;8.7;10000
Seventh Son;5.5;16000
Lara Croft: Tomb Raider;5.7;0
Transcendence;6.3;37000
Jurassic Park III;5.9;0
Rise of the Planet of the Apes;7.6;47000
The Spiderwick Chronicles;6.6;0
A Good Day to Die Hard;5.3;66000
The Alamo;6.0;701
The Incredibles;8.0;0
Cutthroat Island;5.6;1000
Percy Jackson & the Olympians: The Lightning Thief;5.9;9000
Men in Black;7.3;0
Toy Story 2;7.9;0
Unstoppable;6.8;18000
Rush Hour 2;6.6;0
What Lies Beneath;6.6;0
Cloudy with a Chance of Meatballs;7.0;0
Ice Age: Dawn of the Dinosaurs;7.0;0
The Secret Life of Walter Mitty;7.3;70000
Charlie's Angels;5.5;0
The Departed;8.5;29000
Mulan;7.5;12000
Tropic Thunder;7.0;0
The Girl with the Dragon Tattoo;7.8;54000
Die Hard with a Vengeance;7.6;0
Sherlock Holmes;7.6;20000
Ben-Hur;6.1;0
Atlantis: The Lost Empire;6.8;0
Alvin and the Chipmunks: The Road Chip;5.0;0
Valkyrie;7.1;0
You Don't Mess with the Zohan;5.5;0
Pixels;5.6;39000
A.I. Artificial Intelligence;7.1;11000
The Haunted Mansion;4.9;988
Contact;7.4;15000
Hollow Man;5.7;0
The Interpreter;6.4;0
Percy Jackson: Sea of Monsters;5.9;28000
Lara Croft Tomb Raider: The Cradle of Life;5.5;0
Now You See Me 2;6.9;15000
The Saint;6.2;0
Spy Game;7.0;0
Mission to Mars;5.6;0
Rio;7.0;19000
Bicentennial Man;6.8;0
Volcano;5.4;2000
The Devil's Own;6.1;979
K-19: The Widowmaker;6.7;0
Fantastic Four;4.3;41000
Conan the Barbarian;6.9;0
Cinderella Man;8.0;0
The Nutcracker in 3D;4.4;788
Seabiscuit;7.3;0
Twister;6.3;0
The Fast and the Furious;6.7;14000
Cast Away;7.7;23000
Happy Feet;6.5;0
The Bourne Supremacy;7.8;0
Air Force One;6.4;0
Ocean's Eleven;7.8;0
The Three Musketeers;5.8;19000
Hotel Transylvania;7.1;28000
Enchanted;7.1;0
Hannibal;8.6;59000
Safe House;6.8;19000
102 Dalmatians;4.8;372
Tower Heist;6.2;0
The Holiday;6.9;19000
Enemy of the State;7.3;0
It's Complicated;6.6;0
Ocean's Thirteen;6.9;0
Open Season;6.2;863
Divergent;6.7;49000
Enemy at the Gates;7.6;0
The Rundown;6.7;0
Last Action Hero;6.2;0
Memoirs of a Geisha;7.3;0
The Fast and the Furious: Tokyo Drift;6.0;0
Arthur Christmas;7.1;0
Meet Joe Black;7.1;10000
Collateral Damage;5.5;941
All That Jazz;7.8;0
Mirror Mirror;5.6;18000
Scott Pilgrim vs. the World;7.5;36000
The Core;5.4;0
Nutty Professor II: The Klumps;4.3;374
Scooby-Doo;4.9;0
Dredd;7.1;46000
Click;6.4;7000
Creepshow;6.9;0
Cats & Dogs: The Revenge of Kitty Galore;4.3;0
Jumper;6.1;0
Hellboy II: The Golden Army;7.0;3000
Zodiac;7.7;12000
The 6th Day;5.9;0
Bruce Almighty;6.7;0
The Expendables;6.5;57000
Mission: Impossible;7.1;0
The Hunger Games;7.3;140000
The Hangover Part II;6.5;56000
Batman Returns;7.0;0
Over the Hedge;6.8;0
Lilo & Stitch;7.2;0
Charlotte's Web;6.4;0
Deep Impact;6.1;0
RED 2;6.7;22000
The Longest Yard;6.4;0
Alvin and the Chipmunks: Chipwrecked;4.4;0
Grown Ups 2;5.4;14000
Get Smart;6.5;0
Something's Gotta Give;6.7;0
Shutter Island;8.1;53000
Four Christmases;5.6;0
Robots;6.3;0
Face/Off;7.3;11000
Bedtime Stories;6.1;0
Road to Perdition;7.7;0
Just Go with It;6.4;19000
Daredevil;8.8;55000
Con Air;6.8;0
Eagle Eye;6.6;0
Cold Mountain;7.2;0
The Book of Eli;6.9;20000
Flubber;5.2;0
The Haunting;4.9;0
Space Jam;6.3;0
The Pink Panther;5.6;0
The Day the Earth Stood Still;5.5;0
Conspiracy Theory;6.7;0
Fury;7.6;82000
Six Days Seven Nights;5.7;0
Yogi Bear;4.6;0
Spirit: Stallion of the Cimarron;7.0;4000
Zookeeper;5.2;0
Lost in Space;5.1;0
The Manchurian Candidate;6.6;0
Déjà Vu;7.0;91
Hotel Transylvania 2;6.7;16000
Bewitched;7.6;0
Fantasia 2000;7.3;607
The Time Machine;5.9;3000
Mighty Joe Young;5.6;0
Swordfish;6.5;0
The Legend of Zorro;5.9;951
What Dreams May Come;7.0;32000
Little Nicky;5.3;0
The Brothers Grimm;5.9;0
Mars Attacks!;6.3;0
Evolution;6.4;257
The Edge;6.9;0
Surrogates;6.3;0
Thirteen Days;7.3;0
Daylight;5.8;0
Walking with Dinosaurs 3D;5.2;0
Battlefield Earth;2.4;0
Looney Tunes: Back in Action;5.7;665
Nine;5.8;0
Timeline;5.6;0
The Postman;6.0;0
Babe: Pig in the City;5.8;964
The Last Witch Hunter;6.0;21000
Red Planet;5.7;995
Arthur and the Invisibles;6.0;941
Oceans;7.8;0
A Sound of Thunder;4.2;785
Pompeii;5.6;20000
Top Cat Begins;4.4;138
A Beautiful Mind;8.2;29000
The Lion King;8.5;17000
Journey 2: The Mysterious Island;5.8;0
Cloudy with a Chance of Meatballs 2;6.5;15000
Red Dragon;7.2;0
Hidalgo;6.7;0
Jack and Jill;3.4;0
2 Fast 2 Furious;5.9;0
The Little Prince;7.8;31000
The Invasion;5.9;0
The Adventures of Rocky & Bullwinkle;4.1;413
The Secret Life of Pets;6.8;36000
The League of Extraordinary Gentlemen;5.8;0
Despicable Me 2;7.5;56000
Independence Day;6.9;16000
The Lost World: Jurassic Park;6.5;0
Madagascar;6.9;0
Children of Men;7.9;17000
X-Men;7.4;0
Wanted;6.7;0
The Rock;7.4;51000
Ice Age: The Meltdown;6.9;0
50 First Dates;6.8;11000
Hairspray;6.7;0
Exorcist: The Beginning;5.1;893
Inspector Gadget;4.1;509
Now You See Me;7.3;105000
Grown Ups;6.0;12000
The Terminal;7.3;16000
Constantine;7.5;10000
Hotel for Dogs;5.4;1000
Vertical Limit;5.9;0
Charlie Wilson's War;7.1;0
Shark Tale;6.0;0
Dreamgirls;6.5;0
Life;8.3;0
Be Cool;5.7;0
Munich;7.6;0
Tears of the Sun;6.6;0
Killers;5.4;0
The Man from U.N.C.L.E.;7.3;43000
Spanglish;6.5;0
Monster House;6.6;0
Bandits;6.6;0
First Knight;5.9;0
Anna and the King;6.7;0
Immortals;6.1;30000
Hostage;6.6;0
Titan A.E.;6.6;0
Hollywood Homicide;5.3;648
Soldier;6.0;0
Carriers;6.0;0
Monkeybone;4.7;683
Flight of the Phoenix;6.1;1000
Unbreakable;7.2;0
Minions;6.4;70000
Sucker Punch;6.1;42000
Snake Eyes;5.9;880
Sphere;6.0;0
The Angry Birds Movie;6.3;14000
Fool's Gold;5.6;0
Funny People;6.4;0
The Kingdom;7.1;0
Talladega Nights: The Ballad of Ricky Bobby;6.6;0
Dr. Dolittle 2;4.6;266
Braveheart;8.4;17000
Jarhead;7.1;0
The Simpsons Movie;7.4;0
The Majestic;6.9;0
Driven;4.5;886
Two Brothers;7.1;2000
The Village;6.5;0
Doctor Dolittle;5.3;694
Signs;6.7;0
Shrek 2;7.2;0
Cars;7.2;0
Runaway Bride;5.5;0
xXx;5.8;10000
The SpongeBob Movie: Sponge Out of Water;6.0;16000
Ransom;6.6;1000
Inglourious Basterds;8.3;42000
Hook;6.7;13000
Hercules;6.0;21000
Die Hard 2;7.1;0
S.W.A.T.;6.0;0
Sleepy Hollow;7.5;14000
Vanilla Sky;6.9;0
Lady in the Water;5.6;0
AVP: Alien vs. Predator;5.6;0
Alvin and the Chipmunks: The Squeakquel;4.5;2000
We Were Soldiers;7.1;5000
Olympus Has Fallen;6.5;45000
Star Trek: Insurrection;6.4;1000
Battle Los Angeles;5.8;25000
Big Fish;8.0;26000
Wolf;6.2;0
War Horse;7.2;28000
The Monuments Men;6.1;34000
The Abyss;7.6;0
Wall Street: Money Never Sleeps;6.3;13000
Dracula Untold;6.3;37000
The Siege;6.3;0
Stardust;7.7;15000
Seven Years in Tibet;7.0;0
The Dilemma;5.3;0
Bad Company;5.6;792
Doom;5.2;0
I Spy;5.4;531
Underworld: Awakening;6.4;24000
Rock of Ages;5.9;33000
Hart's War;6.3;997
Killer Elite;6.5;17000
Rollerball;3.0;584
Ballistic: Ecks vs. Sever;3.6;391
Hard Rain;5.8;815
Osmosis Jones;6.2;2000
Legends of Oz: Dorothy's Return;5.6;5000
Blackhat;5.4;11000
Sky Captain and the World of Tomorrow;6.1;0
Basic Instinct 2;4.2;764
Escape Plan;6.7;34000
The Legend of Hercules;4.2;12000
The Sum of All Fears;6.4;0
The Twilight Saga: Eclipse;4.9;29000
The Score;6.8;0
Despicable Me;7.7;31000
Money Train;5.6;617
Ted 2;6.4;30000
Agora;7.2;29000
Mystery Men;6.0;0
Hall Pass;5.9;10000
The Insider;7.9;0
The Finest Hours;6.8;12000
Body of Lies;7.1;0
Dinner for Schmucks;5.9;0
Abraham Lincoln: Vampire Hunter;5.9;98000
Entrapment;6.2;0
Last Man Standing;7.4;0
The X Files;7.0;0
The Last Legion;5.4;0
Saving Private Ryan;8.6;22000
Need for Speed;6.5;32000
What Women Want;6.4;0
Ice Age;7.6;3000
Dreamcatcher;5.5;4000
Lincoln;7.4;71000
The Matrix;8.7;25000
Apollo 13;7.6;5000
Total Recall;7.5;0
The Santa Clause 2;5.5;1000
Les Misérables;7.6;144000
You've Got Mail;6.5;0
Step Brothers;6.9;0
The Mask of Zorro;6.7;0
Due Date;6.6;25000
Unbroken;7.2;35000
Space Cowboys;6.4;0
Cliffhanger;6.4;0
Broken Arrow;6.0;0
The Kid;6.1;0
World Trade Center;6.0;0
Mona Lisa Smile;6.4;0
The Dictator;6.4;59000
Eyes Wide Shut;7.3;10000
Annie;5.2;16000
Focus;6.6;23000
This Means War;6.3;18000
Blade: Trinity;5.9;0
Red Dawn;6.4;0
Primary Colors;6.7;688
Resident Evil: Retribution;5.4;32000
Death Race;6.4;0
The Long Kiss Goodnight;6.7;4000
Proof of Life;6.2;892
Zathura: A Space Adventure;6.1;0
Fight Club;8.8;48000
We Are Marshall;7.1;0
The Missing;8.1;0
Hudson Hawk;5.7;0
Lucky Numbers;5.0;177
I, Frankenstein;5.1;15000
Oliver Twist;6.9;0
Elektra;4.8;0
Sin City: A Dame to Kill For;6.5;32000
Random Hearts;5.1;295
Everest;7.1;40000
Perfume: The Story of a Murderer;7.5;26000
Austin Powers in Goldmember;6.2;0
Astro Boy;6.3;0
Jurassic Park;8.1;19000
Wyatt Earp;6.6;0
Clear and Present Danger;6.9;0
Dragon Blade;6.1;0
Littleman;4.3;0
U-571;6.6;0
The American President;6.8;0
The Love Guru;3.8;0
3000 Miles to Graceland;5.9;0
The Hateful Eight;7.9;114000
Blades of Glory;6.3;0
Hop;5.5;0
300;7.7;13000
Meet the Fockers;6.3;0
Marley & Me;7.1;11000
The Green Mile;8.5;30000
Wild Hogs;5.9;0
Chicken Little;5.8;912
Gone Girl;8.1;146000
The Bourne Identity;7.9;0
GoldenEye;7.2;0
The General's Daughter;6.3;885
The Truman Show;8.1;18000
The Prince of Egypt;7.0;0
Daddy Day Care;5.5;886
2 Guns;6.7;22000
Cats & Dogs;5.2;0
The Italian Job;7.0;0
Two Weeks Notice;6.1;0
Antz;6.6;0
Couples Retreat;5.5;0
Days of Thunder;5.9;0
Cheaper by the Dozen 2;5.4;781
The Scorch Trials;6.4;24000
Eat Pray Love;5.7;26000
The Family Man;6.7;0
RED;7.1;32000
Any Given Sunday;6.8;0
The Horse Whisperer;6.5;0
Collateral;7.6;0
The Scorpion King;5.5;0
Ladder 49;6.5;0
Jack Reacher;7.0;38000
Deep Blue Sea;5.8;0
This Is It;7.3;0
Contagion;6.6;42000
Kangaroo Jack;4.4;858
Coraline;7.7;10000
The Happening;5.0;6000
Man on Fire;7.7;14000
The Shaggy Dog;4.4;747
Starsky & Hutch;6.1;0
Jingle All the Way;5.4;0
Hellboy;6.8;0
A Civil Action;6.5;1000
ParaNorman;7.0;12000
The Jackal;6.3;0
Paycheck;6.3;0
Up Close & Personal;6.1;829
The Tale of Despereaux;6.1;0
Rules of Engagement;7.3;0
The Tuxedo;5.3;797
Under Siege 2: Dark Territory;5.4;1000
Jack Ryan: Shadow Recruit;6.2;17000
Joy;6.6;24000
London Has Fallen;5.9;28000
Alien: Resurrection;6.3;0
Shooter;7.2;0
The Boxtrolls;6.8;11000
Practical Magic;6.1;0
The Lego Movie;7.8;64000
Miss Congeniality 2: Armed and Fabulous;5.0;621
Reign of Fire;6.2;0
Gangster Squad;6.7;40000
Year One;4.9;0
Invictus;7.4;23000
State of Play;7.1;0
Duplicity;6.2;0
My Favorite Martian;4.9;448
The Sentinel;6.1;690
Planet 51;6.1;0
Star Trek: Nemesis;6.4;0
Intolerable Cruelty;6.3;0
Trouble with the Curve;6.8;11000
Edge of Darkness;6.6;0
The Relic;5.7;956
Analyze That;5.9;846
Righteous Kill;6.0;0
Mercury Rising;6.1;0
The Soloist;6.7;0
The Legend of Bagger Vance;6.7;0
Almost Famous;7.9;15000
Garfield 2;5.0;470
xXx: State of the Union;4.3;0
Priest;5.7;20000
Sinbad: Legend of the Seven Seas;6.7;880
Event Horizon;6.7;10000
The Avengers;8.1;123000
Dragonfly;6.1;0
The Black Dahlia;5.6;0
Flyboys;6.6;2000
The Last Castle;6.9;0
Supernova;4.8;589
Winter's Tale;6.2;17000
The Mortal Instruments: City of Bones;6.0;44000
Meet Dave;4.9;791
Dark Water;5.6;0
Edtv;6.1;641
Inkheart;6.1;0
The Spirit;4.8;2000
Mortdecai;5.5;12000
In the Name of the King: A Dungeon Siege Tale;3.8;0
Beyond Borders;6.5;0
Xi you ji zhi: Sun Wukong san da Baigu Jing;6.0;426
The Great Raid;6.7;0
Deadpool;8.1;117000
Holy Man;4.9;296
American Sniper;7.3;112000
Goosebumps;6.4;35000
Sabrina, the Teenage Witch;6.6;990
Just Like Heaven;6.7;0
The Flintstones in Viva Rock Vegas;3.6;500
Rambo III;5.7;2000
Leatherheads;6.0;472
The Ridiculous 6;4.9;0
Did You Hear About the Morgans?;4.7;0
The Internship;6.3;22000
Resident Evil: Afterlife;5.9;19000
Red Tails;5.9;0
Sex and the City;7.0;0
The Devil's Advocate;7.5;11000
That's My Boy;5.6;12000
DragonHeart;6.4;0
After the Sunset;6.3;782
Ghost Rider: Spirit of Vengeance;4.3;18000
Captain Corelli's Mandolin;5.9;0
Anger Management;6.7;0
The Pacifier;5.5;0
Walking Tall;6.2;0
Forrest Gump;8.8;59000
Alvin and the Chipmunks;5.2;0
Meet the Parents;7.0;0
Pocahontas;6.6;0
Superman;7.3;0
The Nutty Professor;5.6;960
Hitch;6.6;0
George of the Jungle;5.4;5000
American Wedding;6.3;0
Captain Phillips;7.9;65000
Date Night;6.3;0
Casper;6.0;0
The Equalizer;7.2;56000
Maid in Manhattan;5.1;0
Crimson Tide;7.3;0
The Pursuit of Happyness;8.0;32000
Flightplan;6.2;0
Disclosure;6.0;0
City of Angels;6.7;0
Kill Bill: Vol. 1;8.1;13000
Bowfinger;6.4;0
Stargate SG-1;8.4;0
Kill Bill: Vol. 2;8.0;0
Tango & Cash;6.3;0
Death Becomes Her;6.4;8000
Shanghai Noon;6.6;0
Executive Decision;6.4;0
Mr. Popper's Penguins;6.0;14000
The Forbidden Kingdom;6.6;0
Free Birds;5.9;0
Alien 3;6.4;0
Evita;6.3;0
Ronin;7.3;0
The Ghost and the Darkness;6.8;0
Paddington;7.2;30000
The Watch;5.7;15000
The Hunted;6.0;0
Instinct;6.5;0
Stuck on You;5.8;0
Semi-Pro;5.8;0
The Pirates! Band of Misfits;6.7;0
Changeling;7.8;14000
Chain Reaction;5.6;1000
The Fan;5.8;0
The Phantom of the Opera;7.4;0
Elizabeth: The Golden Age;6.9;0
Æon Flux;5.5;0
Gods and Generals;6.3;953
Turbulence;4.7;316
Imagine That;5.6;610
Muppets Most Wanted;6.4;10000
Thunderbirds;4.2;437
Burlesque;6.4;19000
A Very Long Engagement;7.7;0
Lolita;7.7;0
Eye See You;5.3;448
Blade II;6.7;0
Seven Pounds;7.7;26000
Bullet to the Head;5.7;10000
The Godfather: Part III;7.6;0
Elizabethtown;6.4;0
You, Me and Dupree;5.6;0
Superman II;6.8;0
Gigli;2.4;2000
All the King's Men;6.2;0
Shaft;5.9;0
Anastasia;7.1;0
Moulin Rouge!;7.6;10000
