movie_title;title_year;country;language;duration;director_name;budget;gross
The Fast and the Furious;2001.0;USA;English;106.0;Rob Cohen;38000000.0;144512310.0
The Curious Case of Benjamin Button;2008.0;USA;English;166.0;David Fincher;150000000.0;127490802.0
X-Men: First Class;2011.0;USA;English;132.0;Matthew Vaughn;160000000.0;146405371.0
The Hunger Games: Mockingjay - Part 2;2015.0;USA;English;137.0;Francis Lawrence;160000000.0;281666058.0
The Sorcerer's Apprentice;2010.0;USA;English;109.0;Jon Turteltaub;150000000.0;63143812.0
Poseidon;2006.0;USA;English;98.0;Wolfgang Petersen;160000000.0;60655503.0
Alice Through the Looking Glass;2016.0;USA;English;113.0;James Bobin;170000000.0;76846624.0
Shrek the Third;2007.0;USA;English;93.0;Chris Miller;160000000.0;320706665.0
Warcraft;2016.0;USA;English;123.0;Duncan Jones;160000000.0;46978995.0
Terminator Genisys;2015.0;USA;English;126.0;Alan Taylor;155000000.0;89732035.0
The Chronicles of Narnia: The Voyage of the Dawn Treader;2010.0;USA;English;113.0;Michael Apted;155000000.0;104383624.0
Pearl Harbor;2001.0;USA;English;184.0;Michael Bay;140000000.0;198539855.0
Transformers;2007.0;USA;English;144.0;Michael Bay;150000000.0;318759914.0
Alexander;2004.0;Germany;English;206.0;Oliver Stone;155000000.0;34293771.0
Harry Potter and the Order of the Phoenix;2007.0;UK;English;138.0;David Yates;150000000.0;292000866.0
Harry Potter and the Goblet of Fire;2005.0;UK;English;157.0;Mike Newell;150000000.0;289994397.0
Hancock;2008.0;USA;English;102.0;Peter Berg;150000000.0;227946274.0
I Am Legend;2007.0;USA;English;104.0;Francis Lawrence;150000000.0;256386216.0
Charlie and the Chocolate Factory;2005.0;USA;English;115.0;Tim Burton;150000000.0;206456431.0
Ratatouille;2007.0;USA;English;111.0;Brad Bird;150000000.0;206435493.0
Batman Begins;2005.0;USA;English;128.0;Christopher Nolan;150000000.0;205343774.0
Madagascar: Escape 2 Africa;2008.0;USA;English;89.0;Eric Darnell;150000000.0;179982968.0
Night at the Museum: Battle of the Smithsonian;2009.0;USA;English;105.0;Shawn Levy;150000000.0;177243721.0
X-Men Origins: Wolverine;2009.0;USA;English;119.0;Gavin Hood;150000000.0;179883016.0
The Matrix Revolutions;2003.0;Australia;English;129.0;Lana Wachowski;150000000.0;139259759.0
Frozen;2013.0;USA;English;102.0;Chris Buck;150000000.0;400736600.0
The Matrix Reloaded;2003.0;USA;English;138.0;Lana Wachowski;150000000.0;281492479.0
Thor: The Dark World;2013.0;USA;English;112.0;Alan Taylor;170000000.0;206360018.0
Mad Max: Fury Road;2015.0;Australia;English;120.0;George Miller;150000000.0;153629485.0
Angels & Demons;2009.0;USA;English;146.0;Ron Howard;150000000.0;133375846.0
Thor;2011.0;USA;English;115.0;Kenneth Branagh;150000000.0;181015141.0
Bolt;2008.0;USA;English;96.0;Byron Howard;150000000.0;114053579.0
G-Force;2009.0;USA;English;88.0;Hoyt Yeatman;150000000.0;119420252.0
Wrath of the Titans;2012.0;USA;English;99.0;Jonathan Liebesman;150000000.0;83640426.0
Dark Shadows;2012.0;USA;English;113.0;Tim Burton;100000000.0;79711678.0
Mission: Impossible - Rogue Nation;2015.0;China;English;131.0;Christopher McQuarrie;150000000.0;195000874.0
The Wolfman;2010.0;USA;English;119.0;Joe Johnston;150000000.0;61937495.0
The Legend of Tarzan;2016.0;USA;English;110.0;David Yates;180000000.0;124051759.0
Bee Movie;2007.0;USA;English;91.0;Steve Hickner;150000000.0;126597121.0
Kung Fu Panda 2;2011.0;USA;English;90.0;Jennifer Yuh Nelson;150000000.0;165230261.0
The Last Airbender;2010.0;USA;English;103.0;M. Night Shyamalan;150000000.0;131564731.0
Mission: Impossible III;2006.0;USA;English;124.0;J.J. Abrams;150000000.0;133382309.0
White House Down;2013.0;USA;English;131.0;Roland Emmerich;150000000.0;73103784.0
Mars Needs Moms;2011.0;USA;English;88.0;Simon Wells;150000000.0;21379315.0
Flushed Away;2006.0;UK;English;85.0;David Bowers;149000000.0;64459316.0
Pan;2015.0;USA;English;111.0;Joe Wright;150000000.0;34964818.0
Mr. Peabody & Sherman;2014.0;USA;English;92.0;Rob Minkoff;145000000.0;111505642.0
Troy;2004.0;USA;English;196.0;Wolfgang Petersen;175000000.0;133228348.0
Madagascar 3: Europe's Most Wanted;2012.0;USA;English;93.0;Eric Darnell;145000000.0;216366733.0
Die Another Day;2002.0;UK;English;133.0;Lee Tamahori;142000000.0;160201106.0
Ghostbusters;2016.0;USA;English;116.0;Paul Feig;144000000.0;118099659.0
Armageddon;1998.0;USA;English;153.0;Michael Bay;140000000.0;201573391.0
Men in Black II;2002.0;USA;English;88.0;Barry Sonnenfeld;140000000.0;190418803.0
Beowulf;2007.0;USA;English;115.0;Robert Zemeckis;150000000.0;82161969.0
Kung Fu Panda 3;2016.0;USA;English;95.0;Alessandro Carloni;145000000.0;143523463.0
Mission: Impossible - Ghost Protocol;2011.0;USA;English;133.0;Brad Bird;145000000.0;209364921.0
Rise of the Guardians;2012.0;USA;English;97.0;Peter Ramsey;145000000.0;103400692.0
Fun with Dick and Jane;2005.0;USA;English;90.0;Dean Parisot;100000000.0;110332737.0
The Last Samurai;2003.0;USA;English;154.0;Edward Zwick;140000000.0;111110575.0
Exodus: Gods and Kings;2014.0;UK;English;150.0;Ridley Scott;140000000.0;65007045.0
Star Trek;2009.0;USA;English;127.0;J.J. Abrams;150000000.0;257704099.0
Spider-Man;2002.0;USA;English;121.0;Sam Raimi;139000000.0;403706375.0
How to Train Your Dragon 2;2014.0;USA;English;102.0;Dean DeBlois;145000000.0;176997107.0
Gods of Egypt;2016.0;USA;English;126.0;Alex Proyas;140000000.0;31141074.0
Stealth;2005.0;USA;English;121.0;Rob Cohen;135000000.0;31704416.0
Watchmen;2009.0;USA;English;215.0;Zack Snyder;130000000.0;107503316.0
Lethal Weapon 4;1998.0;USA;English;127.0;Richard Donner;140000000.0;129734803.0
Hulk;2003.0;USA;English;138.0;Ang Lee;137000000.0;132122995.0
G.I. Joe: Retaliation;2013.0;USA;English;122.0;Jon M. Chu;130000000.0;122512052.0
Sahara;2005.0;UK;English;124.0;Breck Eisner;130000000.0;68642452.0
Final Fantasy: The Spirits Within;2001.0;USA;English;106.0;Hironobu Sakaguchi;137000000.0;32131830.0
Captain America: The First Avenger;2011.0;USA;English;124.0;Joe Johnston;140000000.0;176636816.0
The World Is Not Enough;1999.0;UK;English;128.0;Michael Apted;135000000.0;126930660.0
Master and Commander: The Far Side of the World;2003.0;USA;English;138.0;Peter Weir;150000000.0;93926386.0
The Twilight Saga: Breaking Dawn - Part 2;2012.0;USA;English;115.0;Bill Condon;120000000.0;292298923.0
Happy Feet 2;2011.0;Australia;English;100.0;George Miller;135000000.0;63992328.0
The Incredible Hulk;2008.0;USA;English;135.0;Louis Leterrier;150000000.0;134518390.0
Miami Vice;;USA;English;60.0;;1500000.0;
The BFG;2016.0;UK;English;117.0;Steven Spielberg;140000000.0;52792307.0
The Revenant;2015.0;USA;English;156.0;Alejandro G. Iñárritu;135000000.0;183635922.0
Turbo;2013.0;USA;English;96.0;David Soren;135000000.0;83024900.0
Rango;2011.0;USA;English;107.0;Gore Verbinski;135000000.0;123207194.0
Penguins of Madagascar;2014.0;USA;English;92.0;Eric Darnell;132000000.0;83348920.0
The Bourne Ultimatum;2007.0;USA;English;115.0;Paul Greengrass;110000000.0;227137090.0
Kung Fu Panda;2008.0;USA;English;92.0;Mark Osborne;130000000.0;215395021.0
Ant-Man;2015.0;USA;English;117.0;Peyton Reed;130000000.0;180191634.0
The Hunger Games: Catching Fire;2013.0;USA;English;146.0;Francis Lawrence;130000000.0;424645577.0
The Twilight Saga: Breaking Dawn - Part 2;2012.0;USA;English;115.0;Bill Condon;120000000.0;292298923.0
Home;2015.0;USA;English;94.0;Tim Johnson;135000000.0;177343675.0
War of the Worlds;2005.0;USA;English;116.0;Steven Spielberg;132000000.0;234277056.0
Bad Boys II;2003.0;USA;English;147.0;Michael Bay;130000000.0;138396624.0
Puss in Boots;2011.0;USA;English;90.0;Chris Miller;130000000.0;149234747.0
Salt;2010.0;USA;English;101.0;Phillip Noyce;110000000.0;118311368.0
Noah;2014.0;USA;English;138.0;Darren Aronofsky;125000000.0;101160529.0
The Adventures of Tintin;2011.0;USA;English;107.0;Steven Spielberg;135000000.0;77564037.0
Harry Potter and the Prisoner of Azkaban;2004.0;UK;English;142.0;Alfonso Cuarón;130000000.0;249358727.0
Australia;2008.0;Australia;English;165.0;Baz Luhrmann;130000000.0;49551662.0
After Earth;2013.0;USA;English;100.0;M. Night Shyamalan;130000000.0;60522097.0
Dinosaur;2000.0;USA;English;82.0;Eric Leighton;127500000.0;137748063.0
Harry Potter and the Deathly Hallows: Part II;2011.0;UK;English;;Matt Birch;;
Night at the Museum: Secret of the Tomb;2014.0;USA;English;98.0;Shawn Levy;127000000.0;113733726.0
Megamind;2010.0;USA;English;95.0;Tom McGrath;130000000.0;148337537.0
Harry Potter and the Sorcerer's Stone;2001.0;UK;English;159.0;Chris Columbus;125000000.0;317557891.0
R.I.P.D.;2013.0;USA;English;96.0;Robert Schwentke;130000000.0;33592415.0
Godzilla Resurgence;2016.0;Japan;Japanese;120.0;Hideaki Anno;;
Pirates of the Caribbean: The Curse of the Black Pearl;2003.0;USA;English;143.0;Gore Verbinski;140000000.0;305388685.0
Harry Potter and the Deathly Hallows: Part I;2010.0;UK;English;;Matt Birch;;
The Hunger Games: Mockingjay - Part 1;2014.0;USA;English;123.0;Francis Lawrence;125000000.0;337103873.0
The Da Vinci Code;2006.0;USA;English;174.0;Ron Howard;125000000.0;217536138.0
Rio 2;2014.0;USA;English;101.0;Carlos Saldanha;103000000.0;131536019.0
X-Men 2;2003.0;Canada;English;134.0;Bryan Singer;110000000.0;214948780.0
Fast Five;2011.0;USA;English;132.0;Justin Lin;125000000.0;209805005.0
Sherlock Holmes: A Game of Shadows;2011.0;USA;English;129.0;Guy Ritchie;125000000.0;186830669.0
Clash of the Titans;2010.0;USA;English;106.0;Louis Leterrier;125000000.0;163192114.0
Total Recall;1990.0;USA;English;113.0;Paul Verhoeven;65000000.0;119412921.0
The 13th Warrior;1999.0;USA;English;102.0;John McTiernan;85000000.0;32694788.0
The Bourne Legacy;2012.0;USA;English;135.0;Tony Gilroy;125000000.0;113165635.0
Batman & Robin;1997.0;USA;English;125.0;Joel Schumacher;125000000.0;107285004.0
How the Grinch Stole Christmas;2000.0;USA;English;110.0;Ron Howard;123000000.0;260031035.0
The Day After Tomorrow;2004.0;USA;English;124.0;Roland Emmerich;125000000.0;186739919.0
Mission: Impossible II;2000.0;USA;English;123.0;John Woo;125000000.0;215397307.0
The Perfect Storm;2000.0;USA;English;130.0;Wolfgang Petersen;140000000.0;182618434.0
Fantastic 4: Rise of the Silver Surfer;2007.0;USA;English;92.0;Tim Story;130000000.0;131920333.0
Life of Pi;2012.0;USA;English;127.0;Ang Lee;120000000.0;124976634.0
Ghost Rider;2007.0;USA;English;123.0;Mark Steven Johnson;110000000.0;115802596.0
Jason Bourne;2016.0;UK;English;123.0;Paul Greengrass;120000000.0;108521835.0
Charlie's Angels: Full Throttle;2003.0;USA;English;107.0;McG;120000000.0;100685880.0
Prometheus;2012.0;USA;English;124.0;Ridley Scott;130000000.0;126464904.0
Stuart Little 2;2002.0;USA;English;77.0;Rob Minkoff;120000000.0;64736114.0
Elysium;2013.0;USA;English;109.0;Neill Blomkamp;115000000.0;93050117.0
The Chronicles of Riddick;2004.0;USA;English;134.0;David Twohy;105000000.0;57637485.0
RoboCop;2014.0;USA;English;117.0;José Padilha;100000000.0;58607007.0
Speed Racer;2008.0;USA;English;135.0;Lana Wachowski;120000000.0;43929341.0
How Do You Know;2010.0;USA;English;121.0;James L. Brooks;120000000.0;30212620.0
Knight and Day;2010.0;USA;English;117.0;James Mangold;117000000.0;76418654.0
Oblivion;2013.0;USA;English;124.0;Joseph Kosinski;120000000.0;89021735.0
Star Wars: Episode III - Revenge of the Sith;2005.0;USA;English;140.0;George Lucas;113000000.0;380262555.0
Star Wars: Episode II - Attack of the Clones;2002.0;USA;English;142.0;George Lucas;115000000.0;310675583.0
Monsters, Inc.;2001.0;USA;English;92.0;Pete Docter;115000000.0;289907418.0
The Wolverine;2013.0;USA;English;138.0;James Mangold;120000000.0;132550960.0
Star Wars: Episode I - The Phantom Menace;1999.0;USA;English;136.0;George Lucas;115000000.0;474544677.0
The Croods;2013.0;USA;English;98.0;Kirk De Micco;135000000.0;187165546.0
Asterix at the Olympic Games;2008.0;France;French;116.0;Frédéric Forestier;78000000.0;
Windtalkers;2002.0;USA;English;153.0;John Woo;115000000.0;40911830.0
The Huntsman: Winter's War;2016.0;USA;English;120.0;Cedric Nicolas-Troyan;115000000.0;47952020.0
Teenage Mutant Ninja Turtles;2014.0;USA;English;101.0;Jonathan Liebesman;125000000.0;190871240.0
Gravity;2013.0;UK;English;91.0;Alfonso Cuarón;100000000.0;274084951.0
Dante's Peak;1997.0;USA;English;108.0;Roger Donaldson;116000000.0;67155742.0
Teenage Mutant Ninja Turtles: Out of the Shadows;2016.0;USA;English;112.0;Dave Green;135000000.0;81638674.0
Fantastic Four;2015.0;USA;English;100.0;Josh Trank;120000000.0;56114221.0
Night at the Museum;2006.0;USA;English;108.0;Shawn Levy;110000000.0;250863268.0
San Andreas;2015.0;USA;English;114.0;Brad Peyton;110000000.0;155181732.0
Tomorrow Never Dies;1997.0;UK;English;119.0;Roger Spottiswoode;110000000.0;125332007.0
The Patriot;2000.0;USA;English;142.0;Roland Emmerich;110000000.0;113330342.0
Ocean's Twelve;2004.0;USA;English;125.0;Steven Soderbergh;110000000.0;125531634.0
Mr. & Mrs. Smith;2005.0;USA;English;126.0;Doug Liman;120000000.0;186336103.0
Insurgent;2015.0;USA;English;119.0;Robert Schwentke;110000000.0;129995817.0
The Aviator;2004.0;USA;English;170.0;Martin Scorsese;110000000.0;102608827.0
Gulliver's Travels;2010.0;USA;English;85.0;Rob Letterman;112000000.0;42776259.0
The Green Hornet;2011.0;USA;English;119.0;Michel Gondry;120000000.0;98780042.0
The A-Team;;USA;English;60.0;;;
300: Rise of an Empire;2014.0;USA;English;102.0;Noam Murro;110000000.0;106369117.0
The Smurfs;2011.0;USA;English;103.0;Raja Gosnell;110000000.0;142614158.0
Home on the Range;2004.0;USA;English;76.0;Will Finn;110000000.0;50026353.0
Allegiant;2016.0;USA;English;120.0;Robert Schwentke;110000000.0;66002193.0
Real Steel;2011.0;USA;English;127.0;Shawn Levy;110000000.0;85463309.0
The Smurfs 2;2013.0;USA;English;105.0;Raja Gosnell;105000000.0;71017784.0
Speed 2: Cruise Control;1997.0;USA;English;121.0;Jan de Bont;160000000.0;48068396.0
Ender's Game;2013.0;USA;English;114.0;Gavin Hood;110000000.0;61656849.0
Live Free or Die Hard;2007.0;USA;English;129.0;Len Wiseman;110000000.0;134520804.0
The Lord of the Rings: The Fellowship of the Ring;2001.0;New Zealand;English;171.0;Peter Jackson;93000000.0;313837577.0
Around the World in 80 Days;2004.0;USA;English;120.0;Frank Coraci;110000000.0;24004159.0
Ali;2001.0;USA;English;165.0;Michael Mann;107000000.0;58183966.0
The Cat in the Hat;2003.0;USA;English;82.0;Bo Welch;109000000.0;100446895.0
I, Robot;2004.0;USA;English;115.0;Alex Proyas;120000000.0;144795350.0
Kingdom of Heaven;2005.0;USA;English;194.0;Ridley Scott;130000000.0;47396698.0
Stuart Little;1999.0;Germany;English;84.0;Rob Minkoff;133000000.0;140015224.0
The Princess and the Frog;2009.0;USA;English;97.0;Ron Clements;105000000.0;104374107.0
The Martian;2015.0;USA;English;151.0;Ridley Scott;108000000.0;228430993.0
10,000 B.C.;;;;22.0;Christopher Barnard;;
The Island;2005.0;USA;English;136.0;Michael Bay;126000000.0;35799026.0
Town & Country;2001.0;New Line;English;104.0;Peter Chelsom;90000000.0;6712451.0
Gone in Sixty Seconds;2000.0;USA;English;127.0;Dominic Sena;90000000.0;101643008.0
Gladiator;2000.0;USA;English;171.0;Ridley Scott;103000000.0;187670866.0
Minority Report;2002.0;USA;English;145.0;Steven Spielberg;102000000.0;132014112.0
Harry Potter and the Chamber of Secrets;2002.0;UK;English;174.0;Chris Columbus;100000000.0;261970615.0
Casino Royale;2006.0;UK;English;144.0;Martin Campbell;150000000.0;167007184.0
Planet of the Apes;2001.0;USA;English;119.0;Tim Burton;100000000.0;180011740.0
Terminator 2: Judgment Day;1991.0;USA;English;153.0;James Cameron;102000000.0;204843350.0
Public Enemies;2009.0;USA;English;140.0;Michael Mann;100000000.0;97030725.0
American Gangster;2007.0;USA;English;176.0;Ridley Scott;100000000.0;130127620.0
True Lies;1994.0;USA;English;141.0;James Cameron;115000000.0;146282411.0
The Taking of Pelham 1 2 3;2009.0;USA;English;106.0;Tony Scott;100000000.0;65452312.0
Little Fockers;2010.0;USA;English;98.0;Paul Weitz;100000000.0;148383780.0
The Other Guys;2010.0;USA;English;116.0;Adam McKay;100000000.0;119219978.0
Eraser;1996.0;USA;English;115.0;Chuck Russell;100000000.0;101228120.0
Django Unchained;2012.0;USA;English;165.0;Quentin Tarantino;100000000.0;162804648.0
The Hunchback of Notre Dame;1996.0;USA;English;91.0;Gary Trousdale;100000000.0;100117603.0
The Emperor's New Groove;2000.0;USA;English;78.0;Mark Dindal;100000000.0;89296573.0
The Expendables 2;2012.0;USA;English;103.0;Simon West;92000000.0;85017401.0
National Treasure;2004.0;USA;English;131.0;Jon Turteltaub;100000000.0;173005002.0
Eragon;2006.0;USA;English;104.0;Stefen Fangmeier;100000000.0;75030163.0
Where the Wild Things Are;2009.0;Germany;English;101.0;Spike Jonze;100000000.0;77222184.0
Pan;2015.0;USA;English;111.0;Joe Wright;150000000.0;34964818.0
Epic;2013.0;USA;English;102.0;Chris Wedge;100000000.0;107515297.0
The Tourist;2010.0;USA;English;103.0;Florian Henckel von Donnersmarck;100000000.0;67631157.0
End of Days;1999.0;USA;English;121.0;Peter Hyams;83000000.0;66862068.0
Blood Diamond;2006.0;Germany;English;143.0;Edward Zwick;100000000.0;57366262.0
The Wolf of Wall Street;2013.0;USA;English;240.0;Martin Scorsese;100000000.0;116866727.0
Batman Forever;1995.0;USA;English;121.0;Joel Schumacher;100000000.0;184031112.0
Starship Troopers;1997.0;USA;English;129.0;Paul Verhoeven;105000000.0;54700065.0
Cloud Atlas;2012.0;Germany;English;172.0;Tom Tykwer;102000000.0;27098580.0
Legend of the Guardians: The Owls of Ga'Hoole;2010.0;USA;English;101.0;Zack Snyder;80000000.0;55673333.0
Catwoman;2004.0;USA;English;87.0;Pitof;100000000.0;40198710.0
Hercules;2014.0;USA;English;101.0;Brett Ratner;100000000.0;72660029.0
Treasure Planet;2002.0;USA;English;95.0;Ron Clements;140000000.0;38120554.0
Land of the Lost;2009.0;USA;English;102.0;Brad Silberling;100000000.0;49392095.0
The Expendables 3;2014.0;USA;English;131.0;Patrick Hughes;90000000.0;39292022.0
