movie_title;actor_name;actor_fb_likes
Maleficent;Angelina Jolie Pitt;11000.0
Dawn of the Planet of the Apes;Gary Oldman;10000.0
The Lovers;Tamsin Egerton;622.0
47 Ronin;Keanu Reeves;18000.0
Captain America: The Winter Soldier;Scarlett Johansson;19000.0
Shrek Forever After;Jon Hamm;4000.0
Tomorrowland;Judy Greer;2000.0
Big Hero 6;Damon Wayans Jr.;756.0
Wreck-It Ralph;Jack McBrayer;975.0
The Polar Express;Tom Hanks;15000.0
Independence Day: Resurgence;Vivica A. Fox;890.0
How to Train Your Dragon;Gerard Butler;18000.0
Terminator 3: Rise of the Machines;Nick Stahl;648.0
Guardians of the Galaxy;Bradley Cooper;14000.0
Interstellar;Matthew McConaughey;11000.0
Inception;Leonardo DiCaprio;29000.0
Godzilla Resurgence;Mark Chinnery;544.0
The Hobbit: An Unexpected Journey;Aidan Turner;5000.0
The Fast and the Furious;Paul Walker;23000.0
The Curious Case of Benjamin Button;Brad Pitt;11000.0
X-Men: First Class;Jennifer Lawrence;34000.0
The Hunger Games: Mockingjay - Part 2;Jennifer Lawrence;34000.0
The Sorcerer's Apprentice;Nicolas Cage;12000.0
Poseidon;Jimmy Bennett;87000.0
Alice Through the Looking Glass;Johnny Depp;40000.0
Shrek the Third;Justin Timberlake;3000.0
Warcraft;Dominic Cooper;3000.0
Terminator Genisys;J.K. Simmons;24000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader;Bruce Spence;531.0
Pearl Harbor;Jennifer Garner;3000.0
Transformers;Zack Ward;662.0
Alexander;Anthony Hopkins;12000.0
Harry Potter and the Order of the Phoenix;Robert Pattinson;21000.0
Harry Potter and the Goblet of Fire;Robert Pattinson;21000.0
Hancock;Will Smith;10000.0
I Am Legend;Will Smith;10000.0
Charlie and the Chocolate Factory;Johnny Depp;40000.0
Ratatouille;Janeane Garofalo;1000.0
Batman Begins;Christian Bale;23000.0
Madagascar: Escape 2 Africa;Bernie Mac;1000.0
Night at the Museum: Battle of the Smithsonian;Robin Williams;49000.0
X-Men Origins: Wolverine;Hugh Jackman;20000.0
The Matrix Revolutions;Essie Davis;309.0
Frozen;Josh Gad;1000.0
The Matrix Reloaded;Steve Bastoni;234.0
Thor: The Dark World;Chris Hemsworth;26000.0
Mad Max: Fury Road;Tom Hardy;27000.0
Angels & Demons;Tom Hanks;15000.0
Thor;Chris Hemsworth;26000.0
Bolt;Chloë Grace Moretz;17000.0
G-Force;Kelli Garner;730.0
Wrath of the Titans;Liam Neeson;14000.0
Dark Shadows;Johnny Depp;40000.0
Mission: Impossible - Rogue Nation;Tom Cruise;10000.0
The Wolfman;Anthony Hopkins;12000.0
The Legend of Tarzan;Christoph Waltz;11000.0
Bee Movie;Matthew Broderick;2000.0
Kung Fu Panda 2;Angelina Jolie Pitt;11000.0
The Last Airbender;Seychelle Gabriel;1000.0
Mission: Impossible III;Philip Seymour Hoffman;22000.0
White House Down;Channing Tatum;17000.0
Mars Needs Moms;Elisabeth Harnois;921.0
Flushed Away;Hugh Jackman;20000.0
Pan;Hugh Jackman;20000.0
Mr. Peabody & Sherman;Ty Burrell;3000.0
Troy;Brad Pitt;11000.0
Madagascar 3: Europe's Most Wanted;Jada Pinkett Smith;851.0
Die Another Day;Toby Stephens;769.0
Ghostbusters;Ed Begley Jr.;783.0
Armageddon;Bruce Willis;13000.0
Men in Black II;Will Smith;10000.0
Beowulf;Robin Wright;18000.0
Kung Fu Panda 3;J.K. Simmons;24000.0
Mission: Impossible - Ghost Protocol;Tom Cruise;10000.0
Rise of the Guardians;Hugh Jackman;20000.0
Fun with Dick and Jane;John Michael Higgins;957.0
The Last Samurai;Tom Cruise;10000.0
Exodus: Gods and Kings;Christian Bale;23000.0
Star Trek;Chris Hemsworth;26000.0
Spider-Man;J.K. Simmons;24000.0
How to Train Your Dragon 2;Gerard Butler;18000.0
Gods of Egypt;Gerard Butler;18000.0
Stealth;Sam Shepard;820.0
Watchmen;Matt Frewer;986.0
Lethal Weapon 4;Jet Li;5000.0
Hulk;Kevin Rankin;820.0
G.I. Joe: Retaliation;Channing Tatum;17000.0
Sahara;Matthew McConaughey;11000.0
Final Fantasy: The Spirits Within;Steve Buscemi;12000.0
Captain America: The First Avenger;Chris Evans;11000.0
The World Is Not Enough;Colin Salmon;766.0
Master and Commander: The Far Side of the World;James D'Arcy;613.0
The Twilight Saga: Breaking Dawn - Part 2;Robert Pattinson;21000.0
Happy Feet 2;Robin Williams;49000.0
The Incredible Hulk;Ty Burrell;3000.0
Miami Vice;Don Johnson;982.0
The BFG;Mark Rylance;535.0
The Revenant;Leonardo DiCaprio;29000.0
Turbo;Ryan Reynolds;16000.0
Rango;Johnny Depp;40000.0
Penguins of Madagascar;Benedict Cumberbatch;19000.0
The Bourne Ultimatum;Matt Damon;13000.0
Kung Fu Panda;Angelina Jolie Pitt;11000.0
Ant-Man;Judy Greer;2000.0
The Hunger Games: Catching Fire;Jennifer Lawrence;34000.0
The Twilight Saga: Breaking Dawn - Part 2;Robert Pattinson;21000.0
Home;Jim Parsons;17000.0
War of the Worlds;Tom Cruise;10000.0
Bad Boys II;Will Smith;10000.0
Puss in Boots;Salma Hayek;4000.0
Salt;Angelina Jolie Pitt;11000.0
Noah;Anthony Hopkins;12000.0
The Adventures of Tintin;Toby Jones;2000.0
Harry Potter and the Prisoner of Azkaban;Daniel Radcliffe;11000.0
Australia;Essie Davis;309.0
After Earth;Will Smith;10000.0
Dinosaur;Alfre Woodard;1000.0
Harry Potter and the Deathly Hallows: Part II;Rupert Grint;10000.0
Night at the Museum: Secret of the Tomb;Robin Williams;49000.0
Megamind;J.K. Simmons;24000.0
Harry Potter and the Sorcerer's Stone;Daniel Radcliffe;11000.0
R.I.P.D.;Ryan Reynolds;16000.0
Godzilla Resurgence;Mark Chinnery;544.0
Pirates of the Caribbean: The Curse of the Black Pearl;Johnny Depp;40000.0
Harry Potter and the Deathly Hallows: Part I;Rupert Grint;10000.0
The Hunger Games: Mockingjay - Part 1;Jennifer Lawrence;34000.0
The Da Vinci Code;Tom Hanks;15000.0
Rio 2;Miguel Ferrer;688.0
X-Men 2;Hugh Jackman;20000.0
Fast Five;Paul Walker;23000.0
Sherlock Holmes: A Game of Shadows;Robert Downey Jr.;21000.0
Clash of the Titans;Liam Neeson;14000.0
Total Recall;Ronny Cox;605.0
The 13th Warrior;Tony Curran;845.0
The Bourne Legacy;Jeremy Renner;10000.0
Batman & Robin;Michael Gough;920.0
How the Grinch Stole Christmas;Clint Howard;1000.0
The Day After Tomorrow;Jake Gyllenhaal;15000.0
Mission: Impossible II;Tom Cruise;10000.0
The Perfect Storm;Karen Allen;784.0
Fantastic 4: Rise of the Silver Surfer;Chris Evans;11000.0
Life of Pi;Suraj Sharma;774.0
Ghost Rider;Nicolas Cage;12000.0
Jason Bourne;Matt Damon;13000.0
Charlie's Angels: Full Throttle;Demi Moore;2000.0
Prometheus;Michael Fassbender;13000.0
Stuart Little 2;Nathan Lane;886.0
Elysium;Matt Damon;13000.0
The Chronicles of Riddick;Vin Diesel;14000.0
RoboCop;Gary Oldman;10000.0
Speed Racer;Scott Porter;690.0
How Do You Know;Shelley Conn;273.0
Knight and Day;Tom Cruise;10000.0
Oblivion;Morgan Freeman;11000.0
Star Wars: Episode III - Revenge of the Sith;Natalie Portman;20000.0
Star Wars: Episode II - Attack of the Clones;Natalie Portman;20000.0
Monsters, Inc.;Steve Buscemi;12000.0
The Wolverine;Hugh Jackman;20000.0
Star Wars: Episode I - The Phantom Menace;Natalie Portman;20000.0
The Croods;Ryan Reynolds;16000.0
Asterix at the Olympic Games;Alain Delon;936.0
Windtalkers;Nicolas Cage;12000.0
The Huntsman: Winter's War;Chris Hemsworth;26000.0
Teenage Mutant Ninja Turtles;Noel Fisher;833.0
Gravity;Phaldut Sharma;39.0
Dante's Peak;Jamie Renée Smith;650.0
Teenage Mutant Ninja Turtles: Out of the Shadows;Stephen Amell;5000.0
Fantastic Four;Tim Blake Nelson;596.0
Night at the Museum;Robin Williams;49000.0
San Andreas;Dwayne Johnson;12000.0
Tomorrow Never Dies;Vincent Schiavelli;811.0
The Patriot;Heath Ledger;13000.0
Ocean's Twelve;Brad Pitt;11000.0
Mr. & Mrs. Smith;Brad Pitt;11000.0
Insurgent;Kate Winslet;14000.0
The Aviator;Leonardo DiCaprio;29000.0
Gulliver's Travels;James Corden;480.0
The Green Hornet;Christoph Waltz;11000.0
The A-Team;George Peppard;669.0
300: Rise of an Empire;Eva Green;6000.0
The Smurfs;Mahadeo Shivraj;383.0
Home on the Range;Steve Buscemi;12000.0
Allegiant;Naomi Watts;6000.0
Real Steel;Hugh Jackman;20000.0
The Smurfs 2;Jacob Tremblay;681.0
Speed 2: Cruise Control;Jason Patric;673.0
Ender's Game;Harrison Ford;11000.0
Live Free or Die Hard;Bruce Willis;13000.0
The Lord of the Rings: The Fellowship of the Ring;Christopher Lee;16000.0
Around the World in 80 Days;Jim Broadbent;1000.0
Ali;Will Smith;10000.0
The Cat in the Hat;Sean Hayes;760.0
I, Robot;Will Smith;10000.0
Kingdom of Heaven;Liam Neeson;14000.0
Stuart Little;Chazz Palminteri;979.0
The Princess and the Frog;Oprah Winfrey;852.0
The Martian;Matt Damon;13000.0
10,000 B.C.;Mathew Buck;5.0
The Island;Scarlett Johansson;19000.0
Town & Country;Del Zamora;752.0
Gone in Sixty Seconds;Nicolas Cage;12000.0
Gladiator;Djimon Hounsou;3000.0
Minority Report;Tom Cruise;10000.0
Harry Potter and the Chamber of Secrets;Daniel Radcliffe;11000.0
Casino Royale;Eva Green;6000.0
Planet of the Apes;Cary-Hiroyuki Tagawa;1000.0
Terminator 2: Judgment Day;Joe Morton;780.0
Public Enemies;Johnny Depp;40000.0
American Gangster;Denzel Washington;18000.0
True Lies;Jamie Lee Curtis;2000.0
The Taking of Pelham 1 2 3;Denzel Washington;18000.0
Little Fockers;Robert De Niro;22000.0
The Other Guys;Dwayne Johnson;12000.0
Eraser;Vanessa Williams;1000.0
Django Unchained;Leonardo DiCaprio;29000.0
The Hunchback of Notre Dame;Demi Moore;2000.0
The Emperor's New Groove;Eartha Kitt;558.0
The Expendables 2;Jason Statham;26000.0
National Treasure;Nicolas Cage;12000.0
Eragon;Djimon Hounsou;3000.0
Where the Wild Things Are;Catherine O'Hara;925.0
Pan;Hugh Jackman;20000.0
Epic;Josh Hutcherson;14000.0
The Tourist;Johnny Depp;40000.0
End of Days;CCH Pounder;1000.0
Blood Diamond;Leonardo DiCaprio;29000.0
The Wolf of Wall Street;Leonardo DiCaprio;29000.0
Batman Forever;Michael Gough;920.0
Starship Troopers;Jake Busey;660.0
Cloud Atlas;Tom Hanks;15000.0
Legend of the Guardians: The Owls of Ga'Hoole;Abbie Cornish;2000.0
Catwoman;Frances Conroy;827.0
Hercules;Dwayne Johnson;12000.0
Treasure Planet;Joseph Gordon-Levitt;23000.0
Land of the Lost;Will Ferrell;8000.0
The Expendables 3;Jason Statham;26000.0
Point Break;Ray Winstone;1000.0
Son of the Mask;Jamie Kennedy;490.0
In the Heart of the Sea;Chris Hemsworth;26000.0
The Adventures of Pluto Nash;Rosario Dawson;3000.0
Green Zone;Matt Damon;13000.0
The Peanuts Movie;Francesca Capaldi;144.0
The Spanish Prisoner;Ben Gazzara;623.0
The Mummy Returns;Dwayne Johnson;12000.0
Gangs of New York;Leonardo DiCaprio;29000.0
The Flowers of War;Christian Bale;23000.0
Surf's Up;Jeff Bridges;12000.0
The Stepford Wives;Jon Lovitz;11000.0
Black Hawk Down;Ioan Gruffudd;2000.0
The Campaign;Will Ferrell;8000.0
The Fifth Element;Milla Jovovich;14000.0
Sex and the City 2;Chris Noth;962.0
The Road to El Dorado;Frank Welker;2000.0
Ice Age: Continental Drift;Peter Dinklage;22000.0
Cinderella;Hayley Atwell;2000.0
The Lovely Bones;Michael Imperioli;873.0
Finding Nemo;Alexander Gould;1000.0
The Lord of the Rings: The Return of the King;Orlando Bloom;5000.0
The Lord of the Rings: The Two Towers;Christopher Lee;16000.0
Seventh Son;Jeff Bridges;12000.0
Lara Croft: Tomb Raider;Angelina Jolie Pitt;11000.0
Transcendence;Johnny Depp;40000.0
Jurassic Park III;Michael Jeter;693.0
Rise of the Planet of the Apes;James Franco;11000.0
The Spiderwick Chronicles;Martin Short;770.0
A Good Day to Die Hard;Bruce Willis;13000.0
The Alamo;Dennis Quaid;2000.0
The Incredibles;Holly Hunter;1000.0
Cutthroat Island;Christopher Masterson;1000.0
Percy Jackson & the Olympians: The Lightning Thief;Logan Lerman;8000.0
Men in Black;Will Smith;10000.0
Toy Story 2;Tom Hanks;15000.0
Unstoppable;Denzel Washington;18000.0
Rush Hour 2;Mei Melançon;191.0
What Lies Beneath;Harrison Ford;11000.0
Cloudy with a Chance of Meatballs;Will Forte;622.0
Ice Age: Dawn of the Dinosaurs;Denis Leary;835.0
The Secret Life of Walter Mitty;Adam Scott;3000.0
Charlie's Angels;Bill Murray;13000.0
The Departed;Leonardo DiCaprio;29000.0
Mulan;Ming-Na Wen;2000.0
Tropic Thunder;Robert Downey Jr.;21000.0
The Girl with the Dragon Tattoo;Robin Wright;18000.0
Die Hard with a Vengeance;Bruce Willis;13000.0
Sherlock Holmes;Robert Downey Jr.;21000.0
Ben-Hur;Morgan Freeman;11000.0
Atlantis: The Lost Empire;Leonard Nimoy;12000.0
Alvin and the Chipmunks: The Road Chip;Bella Thorne;35000.0
Valkyrie;Tom Cruise;10000.0
You Don't Mess with the Zohan;Adam Sandler;11000.0
Pixels;Peter Dinklage;22000.0
A.I. Artificial Intelligence;Haley Joel Osment;3000.0
The Haunted Mansion;Marsha Thomason;691.0
Contact;Matthew McConaughey;11000.0
Hollow Man;Greg Grunberg;833.0
The Interpreter;Curtiss Cook;591.0
Percy Jackson: Sea of Monsters;Logan Lerman;8000.0
Lara Croft Tomb Raider: The Cradle of Life;Gerard Butler;18000.0
Now You See Me 2;Daniel Radcliffe;11000.0
The Saint;Alun Armstrong;192.0
Spy Game;Brad Pitt;11000.0
Mission to Mars;Don Cheadle;3000.0
Rio;Anne Hathaway;11000.0
Bicentennial Man;Robin Williams;49000.0
Volcano;Don Cheadle;3000.0
The Devil's Own;Harrison Ford;11000.0
K-19: The Widowmaker;Liam Neeson;14000.0
Fantastic Four;Tim Blake Nelson;596.0
Conan the Barbarian;William Smith;919.0
Cinderella Man;Paddy Considine;680.0
The Nutcracker in 3D;Shirley Henderson;887.0
Seabiscuit;Jeff Bridges;12000.0
Twister;Philip Seymour Hoffman;22000.0
The Fast and the Furious;Paul Walker;23000.0
Cast Away;Tom Hanks;15000.0
Happy Feet;Robin Williams;49000.0
The Bourne Supremacy;Matt Damon;13000.0
Air Force One;Harrison Ford;11000.0
Ocean's Eleven;Brad Pitt;11000.0
The Three Musketeers;Milla Jovovich;14000.0
Hotel Transylvania;Steve Buscemi;12000.0
Enchanted;Jeff Bennett;283.0
Hannibal;Caroline Dhavernas;544.0
Safe House;Denzel Washington;18000.0
102 Dalmatians;Ioan Gruffudd;2000.0
Tower Heist;Matthew Broderick;2000.0
The Holiday;Kate Winslet;14000.0
Enemy of the State;Will Smith;10000.0
It's Complicated;Meryl Streep;11000.0
Ocean's Thirteen;Al Pacino;14000.0
Open Season;Jon Favreau;4000.0
Divergent;Kate Winslet;14000.0
Enemy at the Gates;Bob Hoskins;5000.0
The Rundown;Dwayne Johnson;12000.0
Last Action Hero;F. Murray Abraham;670.0
Memoirs of a Geisha;Li Gong;879.0
The Fast and the Furious: Tokyo Drift;Amber Stevens West;584.0
Arthur Christmas;Jim Broadbent;1000.0
Meet Joe Black;Anthony Hopkins;12000.0
Collateral Damage;Raymond Cruz;672.0
All That Jazz;Roy Scheider;813.0
Mirror Mirror;Julia Roberts;8000.0
Scott Pilgrim vs. the World;Anna Kendrick;10000.0
The Core;Glenn Morshower;894.0
Nutty Professor II: The Klumps;Larry Miller;611.0
Scooby-Doo;Sarah Michelle Gellar;4000.0
Dredd;Wood Harris;409.0
Click;Adam Sandler;11000.0
Creepshow;Ted Danson;875.0
Cats & Dogs: The Revenge of Kitty Galore;Jack McBrayer;975.0
Jumper;Kristen Stewart;17000.0
Hellboy II: The Golden Army;Seth MacFarlane;3000.0
Zodiac;Robert Downey Jr.;21000.0
The 6th Day;Robert Duvall;3000.0
Bruce Almighty;Morgan Freeman;11000.0
The Expendables;Jason Statham;26000.0
Mission: Impossible;Tom Cruise;10000.0
The Hunger Games;Jennifer Lawrence;34000.0
The Hangover Part II;Bradley Cooper;14000.0
Batman Returns;Michael Gough;920.0
Over the Hedge;Bruce Willis;13000.0
Lilo & Stitch;Tia Carrere;1000.0
Charlotte's Web;Steve Buscemi;12000.0
Deep Impact;Morgan Freeman;11000.0
RED 2;Bruce Willis;13000.0
The Longest Yard;Adam Sandler;11000.0
Alvin and the Chipmunks: Chipwrecked;Amy Poehler;1000.0
Grown Ups 2;Steve Buscemi;12000.0
Get Smart;Bill Murray;13000.0
Something's Gotta Give;Keanu Reeves;18000.0
Shutter Island;Leonardo DiCaprio;29000.0
Four Christmases;Jon Favreau;4000.0
Robots;Jim Broadbent;1000.0
Face/Off;Nicolas Cage;12000.0
Bedtime Stories;Adam Sandler;11000.0
Road to Perdition;Tom Hanks;15000.0
Just Go with It;Adam Sandler;11000.0
Daredevil;Elden Henson;577.0
Con Air;Steve Buscemi;12000.0
Eagle Eye;Rosario Dawson;3000.0
Cold Mountain;Philip Seymour Hoffman;22000.0
The Book of Eli;Denzel Washington;18000.0
Flubber;Robin Williams;49000.0
The Haunting;Liam Neeson;14000.0
Space Jam;Bill Murray;13000.0
The Pink Panther;Roger Rees;1000.0
The Day the Earth Stood Still;Keanu Reeves;18000.0
Conspiracy Theory;Julia Roberts;8000.0
Fury;Brad Pitt;11000.0
Six Days Seven Nights;Harrison Ford;11000.0
Yogi Bear;Justin Timberlake;3000.0
Spirit: Stallion of the Cimarron;Matt Damon;13000.0
Zookeeper;Rosario Dawson;3000.0
Lost in Space;Gary Oldman;10000.0
The Manchurian Candidate;Denzel Washington;18000.0
Déjà Vu;Vanessa Redgrave;898.0
Hotel Transylvania 2;Steve Buscemi;12000.0
Bewitched;Elizabeth Montgomery;1000.0
Fantasia 2000;Quincy Jones;340.0
The Time Machine;Mark Addy;891.0
Mighty Joe Young;Charlize Theron;9000.0
Swordfish;Hugh Jackman;20000.0
The Legend of Zorro;Michael Emerson;2000.0
What Dreams May Come;Robin Williams;49000.0
Little Nicky;Adam Sandler;11000.0
The Brothers Grimm;Matt Damon;13000.0
Mars Attacks!;Natalie Portman;20000.0
Evolution;Nissim Renard;23.0
The Edge;Anthony Hopkins;12000.0
Surrogates;Bruce Willis;13000.0
Thirteen Days;Bruce Greenwood;981.0
Daylight;Sylvester Stallone;13000.0
Walking with Dinosaurs 3D;Charlie Rowe;882.0
Battlefield Earth;Richard Tyson;743.0
Looney Tunes: Back in Action;Brendan Fraser;3000.0
Nine;Fergie;529.0
Timeline;Paul Walker;23000.0
The Postman;Olivia Williams;766.0
Babe: Pig in the City;Adam Goldberg;1000.0
The Last Witch Hunter;Vin Diesel;14000.0
Red Planet;Bob Neill;2.0
Arthur and the Invisibles;Mia Farrow;563.0
Oceans;Pedro Armendáriz Jr.;67.0
A Sound of Thunder;David Oyelowo;1000.0
Pompeii;Sasha Roiz;795.0
Top Cat Begins;Sariann Monaco;163.0
A Beautiful Mind;Adam Goldberg;1000.0
The Lion King;Matthew Broderick;2000.0
Journey 2: The Mysterious Island;Josh Hutcherson;14000.0
Cloudy with a Chance of Meatballs 2;Will Forte;622.0
Red Dragon;Philip Seymour Hoffman;22000.0
Hidalgo;J.K. Simmons;24000.0
Jack and Jill;Al Pacino;14000.0
2 Fast 2 Furious;Paul Walker;23000.0
The Little Prince;Jeff Bridges;12000.0
The Invasion;Roger Rees;1000.0
The Adventures of Rocky & Bullwinkle;Robert De Niro;22000.0
The Secret Life of Pets;Steve Coogan;1000.0
The League of Extraordinary Gentlemen;Jason Flemyng;1000.0
Despicable Me 2;Steve Carell;7000.0
Independence Day;Will Smith;10000.0
The Lost World: Jurassic Park;Ariana Richards;610.0
Madagascar;Jada Pinkett Smith;851.0
Children of Men;Charlie Hunnam;16000.0
X-Men;Hugh Jackman;20000.0
Wanted;Angelina Jolie Pitt;11000.0
The Rock;Nicolas Cage;12000.0
Ice Age: The Meltdown;Denis Leary;835.0
50 First Dates;Adam Sandler;11000.0
Hairspray;Jerry Stiller;719.0
Exorcist: The Beginning;James D'Arcy;613.0
Inspector Gadget;Matthew Broderick;2000.0
Now You See Me;Morgan Freeman;11000.0
Grown Ups;Steve Buscemi;12000.0
The Terminal;Tom Hanks;15000.0
Constantine;Harold Perrineau;1000.0
Hotel for Dogs;Don Cheadle;3000.0
Vertical Limit;Nicholas Lea;867.0
Charlie Wilson's War;Philip Seymour Hoffman;22000.0
Shark Tale;Robert De Niro;22000.0
Dreamgirls;Loretta Devine;912.0
Life;Adam Arkin;374.0
Be Cool;Dwayne Johnson;12000.0
Munich;Ayelet Zurer;745.0
Tears of the Sun;Bruce Willis;13000.0
Killers;Tom Selleck;19000.0
The Man from U.N.C.L.E.;Henry Cavill;15000.0
Spanglish;Adam Sandler;11000.0
Monster House;Steve Buscemi;12000.0
Bandits;Bruce Willis;13000.0
First Knight;Julia Ormond;919.0
Anna and the King;Bai Ling;582.0
Immortals;Henry Cavill;15000.0
Hostage;Jimmy Bennett;87000.0
Titan A.E.;Matt Damon;13000.0
Hollywood Homicide;Harrison Ford;11000.0
Soldier;Connie Nielsen;933.0
Carriers;Christopher Meloni;3000.0
Monkeybone;Brendan Fraser;3000.0
Flight of the Phoenix;Dennis Quaid;2000.0
Unbreakable;Robin Wright;18000.0
Minions;Steve Carell;7000.0
Sucker Punch;Jon Hamm;4000.0
Snake Eyes;Nicolas Cage;12000.0
Sphere;Peter Coyote;548.0
The Angry Birds Movie;Peter Dinklage;22000.0
Fool's Gold;Matthew McConaughey;11000.0
Funny People;Adam Sandler;11000.0
The Kingdom;Jennifer Garner;3000.0
Talladega Nights: The Ballad of Ricky Bobby;Will Ferrell;8000.0
Dr. Dolittle 2;Raven-Symoné;1000.0
Braveheart;Mhairi Calvey;906.0
Jarhead;Jake Gyllenhaal;15000.0
The Simpsons Movie;Albert Brooks;745.0
The Majestic;Martin Landau;940.0
Driven;Sylvester Stallone;13000.0
Two Brothers;David Gant;21.0
The Village;Bryce Dallas Howard;3000.0
Doctor Dolittle;Oliver Platt;1000.0
Signs;Rory Culkin;710.0
Shrek 2;Rupert Everett;692.0
Cars;John Ratzenberger;1000.0
Runaway Bride;Julia Roberts;8000.0
xXx;Vin Diesel;14000.0
The SpongeBob Movie: Sponge Out of Water;Tim Conway;870.0
Ransom;Lili Taylor;960.0
Inglourious Basterds;Michael Fassbender;13000.0
Hook;Robin Williams;49000.0
Hercules;Dwayne Johnson;12000.0
Die Hard 2;Bruce Willis;13000.0
S.W.A.T.;Jeremy Renner;10000.0
Sleepy Hollow;Nicole Beharie;898.0
Vanilla Sky;Tom Cruise;10000.0
Lady in the Water;Bryce Dallas Howard;3000.0
AVP: Alien vs. Predator;Sanaa Lathan;886.0
Alvin and the Chipmunks: The Squeakquel;Amy Poehler;1000.0
We Were Soldiers;Jon Hamm;4000.0
Olympus Has Fallen;Gerard Butler;18000.0
Star Trek: Insurrection;LeVar Burton;1000.0
Battle Los Angeles;Noel Fisher;833.0
Big Fish;Steve Buscemi;12000.0
Wolf;David Hyde Pierce;443.0
War Horse;Jeremy Irvine;25000.0
The Monuments Men;Bill Murray;13000.0
The Abyss;Michael Biehn;2000.0
Wall Street: Money Never Sleeps;Frank Langella;903.0
Dracula Untold;Dominic Cooper;3000.0
The Siege;Denzel Washington;18000.0
